carrier_name,route,shipment_date,delay_minutes,sla_breach_minutes,disruption_cost,total_additional_cost,cargo_value,weight_kg
COSCO,Dubai-London,2025-06-04,0.0,0.0,0.0,551.62,5384.61,17494.81
Maersk,New_York-Hamburg,2024-11-11,-588.0,0.0,0.0,1867.05,65155.28,12704.96
CMA_CGM,Rotterdam-New_York,2024-10-08,4320.0,1440.0,600.0,600.0,23121.05,4842.72
COSCO,Mumbai-Dubai,2025-07-13,7200.0,2880.0,4800.0,5196.04,4694.01,2735.32
DHL,Rotterdam-New_York,2025-01-13,5760.0,1440.0,1800.0,2372.04,82914.37,15311.33
Kuehne_Nagel,New_York-Hamburg,2025-01-02,0.0,0.0,0.0,253.32,39649.7,9661.44
CMA_CGM,Hong_Kong-Tokyo,2024-12-24,4320.0,0.0,0.0,1352.59,41613.56,4408.32
CMA_CGM,New_York-Hamburg,2024-11-22,2880.0,0.0,0.0,0.0,123681.88,17484.25
COSCO,London-Singapore,2025-07-12,8640.0,4320.0,1800.0,1800.0,20332.59,8681.99
UPS,Hong_Kong-Tokyo,2024-11-07,-600.0,0.0,0.0,356.1,18057.71,5448.93
DHL,New_York-Hamburg,2025-06-18,0.0,0.0,0.0,2177.97,45193.84,17047.93
COSCO,Rotterdam-New_York,2025-07-13,5760.0,0.0,0.0,2180.25,46410.34,11262.28
DHL,Shanghai-Rotterdam,2025-09-10,8640.0,1440.0,1200.0,1200.0,15445.15,4866.68
DHL,Los_Angeles-Tokyo,2025-04-28,1440.0,0.0,0.0,392.99,65919.17,13349.18
Kuehne_Nagel,Singapore-Hamburg,2024-11-01,10080.0,4320.0,1800.0,3229.97,38012.77,15684.86
CMA_CGM,Shanghai-Los_Angeles,2025-05-16,0.0,0.0,0.0,484.99,19025.71,19406.27
Maersk,Rotterdam-New_York,2025-03-11,2880.0,0.0,0.0,487.44,36873.97,5815.72
Kuehne_Nagel,London-Singapore,2024-10-11,4320.0,1440.0,600.0,1818.8,40234.41,12415.26
Kuehne_Nagel,Hong_Kong-Tokyo,2024-10-10,5760.0,1440.0,1200.0,1200.0,20067.98,840.62
DHL,New_York-Hamburg,2024-11-04,0.0,0.0,0.0,1156.83,14238.77,16135.52
MSC,Hong_Kong-Tokyo,2024-12-22,2880.0,0.0,0.0,336.01,12269.21,15712.97
CMA_CGM,Shanghai-Los_Angeles,2024-12-28,5760.0,1440.0,2400.0,3017.66,27029.83,19777.32
UPS,Shanghai-Los_Angeles,2025-04-13,14400.0,8640.0,7200.0,8162.59,48357.98,5151.8
Kuehne_Nagel,Rotterdam-New_York,2025-05-20,5760.0,2880.0,1200.0,1882.28,19699.37,2117.52
Maersk,Shanghai-Los_Angeles,2024-10-09,2880.0,0.0,0.0,0.0,51235.71,5426.89
MSC,Los_Angeles-Tokyo,2025-05-04,-299.0,0.0,0.0,402.34,9095.53,12554.42
