,0
timestamp,object
vehicle_gps_latitude,float64
vehicle_gps_longitude,float64
fuel_consumption_rate,float64
eta_variation_hours,float64
traffic_congestion_level,float64
warehouse_inventory_level,float64
loading_unloading_time,float64
handling_equipment_availability,float64
order_fulfillment_status,float64
weather_condition_severity,float64
port_congestion_level,float64
shipping_costs,float64
supplier_reliability_score,float64
lead_time_days,float64
historical_demand,float64
iot_temperature,float64
cargo_condition_status,float64
route_risk_level,float64
customs_clearance_time,float64
driver_behavior_score,float64
fatigue_monitoring_score,float64
disruption_likelihood_score,float64
delay_probability,float64
risk_classification,object
delivery_time_deviation,float64
carrier_name,object
stops_count,int64
route,object
distance_km,float64
shipment_date,object
planned_delivery,object
actual_delivery,object
delay_minutes,float64
carrier_otd_history,float64
weather_delay_minutes,float64
port_congestion_minutes,float64
customs_delay_minutes,float64
carrier,object
sla_minutes,int64
penalty_rate,int64
service_level,object
sla_breach_minutes,float64
disruption_cost,float64
weather_cost,float64
congestion_cost,float64
customs_cost,float64
total_additional_cost,float64
cargo_value,float64
weight_kg,float64
is_weekend,bool
month,int64
quarter,int64
route_complexity,float64
shipment_date_dt,datetime64[ns]
